sales, 6.745060708075477
sears, 6.679082364578208
sores, 6.676962167656916
sates, 6.661914656761658
sanes, 6.659457230955542
rases, 6.629586895900007
slaes, 6.624176497722481
seres, 6.604033257823856
sires, 6.5999991436358485
seals, 6.598082611276506
seats, 6.563922236296221
soles, 6.529263964569101
tases, 6.526633230069228
lases, 6.518941253003188
arses, 6.51804498517357
senas, 6.514646738870588
saris, 6.510816972319307
seans, 6.499685600448985
saros, 6.4993851578589705
soras, 6.489592933676731
sairs, 6.471527693163793
seirs, 6.457072225588516
siles, 6.451350378541933
sones, 6.440264410118647
sades, 6.437137959154726
soars, 6.436476747383687
sloes, 6.427982485693469
seles, 6.421861681814328
oases, 6.415701171962647
roses, 6.408522040201113
eases, 6.405418070483592
sames, 6.401542214179219
sails, 6.3860655142036284
seils, 6.368636368365133
sites, 6.364028583687321
sines, 6.353483759945276
solas, 6.334206893469956
rises, 6.330145273019147
sures, 6.329619796104929
reses, 6.322180625278798
toses, 6.307981995514578
sials, 6.304244019217194
senes, 6.3015800608957475
loses, 6.299779366987674
satis, 6.288782436132578
sains, 6.280141119341407
salts, 6.2785437676013345
sages, 6.259952330077286
sabes, 6.2569822786614635
pases, 6.245684984142753
seams, 6.242133027470747
snies, 6.241460393373893
mases, 6.235707612181404
sarus, 6.235187940633728
spaes, 6.230403562899499
cases, 6.227511273132222
sties, 6.225322550425944
sakes, 6.222491403512024
easts, 6.215886080165551
sards, 6.2084548201900915
sants, 6.199920479166537
tares, 6.195594730245376
sorts, 6.194693521433171
leses, 6.184567292704689
suras, 6.177695919783634
siens, 6.176168386168128
sents, 6.164451657149608
noses, 6.163900660757359
lares, 6.151313589324648
soces, 6.1458265826546725
sides, 6.140210040861308
rests, 6.1390522799924625
loess, 6.137903400916817
slats, 6.136742976441921
saree, 6.134736601419656
tosas, 6.127810455330899
soils, 6.124986797910803
saids, 6.124337757504239
sedes, 6.1216995615573175
sorns, 6.119090683710749
rales, 6.115942447723608
bases, 6.11576592376938
slues, 6.114721591453852
gases, 6.110693454079115
trass, 6.107019802429207
arsis, 6.104539189605814
sauls, 6.103538380203966
mesas, 6.09765763867881
rates, 6.097615309189669
ooses, 6.09555067895435
erses, 6.092025200045454
doses, 6.0877568363789045
stars, 6.082818934535306
snars, 6.082750034274972
sauts, 6.081453044185436
teras, 6.0782583499051865
sadis, 6.076529631871041
safes, 6.073333662468435
suers, 6.0714007984681455
sipes, 6.070375765071281
nares, 6.068444540347892
stoas, 6.068110659615494
ruses, 6.066428651492464
eales, 6.064815034690527
sices, 6.062719104154442
soare, 6.06230277606137
silos, 6.059713760312534
sados, 6.057447623170935
tales, 6.056305337096995
lasts, 6.056240472699743
tress, 6.052833003259806
reais, 6.051229434211684
sodas, 6.047691299230042
snees, 6.044976090678195
teres, 6.042786008959836
oasis, 6.04225389611305
tears, 6.033781875729958
saims, 6.03186446661489
arles, 6.0313346301982085
oasts, 6.029648016764777
poses, 6.0276930767633425
lests, 6.026584480556402
moses, 6.021058512969557
leres, 6.02034585498528
tores, 6.019304195305772
shoes, 6.019167020724879
semes, 6.019147318428095
salet, 6.017847926120472
sheas, 6.015423799215331
aeros, 6.0140608641637225
sarks, 6.0123086961227035
dares, 6.011187647555291
coses, 6.007417075577729
soaps, 6.005636418932588
spies, 6.004708159523708
sokes, 6.001982372616796
saics, 6.001430490850706
reals, 6.000797839298545
saner, 6.000576805791653
sorus, 5.99907279389933
semis, 5.9958803402565035
sidas, 5.995846655766905
somas, 5.992614197835114
lears, 5.990079707202219
shies, 5.983495211381484
serks, 5.979723021992327
lores, 5.9776421507796
serai, 5.974867726286675
apses, 5.973415228948168
lanes, 5.972511722164217
laers, 5.9702900415510936
pares, 5.968213362998893
cares, 5.967144761064438
tsars, 5.966023967327228
salps, 5.965160633868653
tires, 5.964383595082226
sords, 5.963810083521906
saine, 5.963424422866938
suets, 5.962248639791416
sands, 5.961871120572016
socas, 5.959250978839759
seral, 5.955151475745525
mares, 5.953410921554054
reans, 5.952372932172154
soree, 5.948780144595839
seare, 5.947688833043259
silts, 5.946591230451133
pises, 5.946417950063732
aloes, 5.945132524112876
sared, 5.943640546728598
roles, 5.942997318682203
isles, 5.942075509289694
mises, 5.9416113033469555
teals, 5.939707382542126
simas, 5.9393839293129975
sours, 5.9384645699499785
aures, 5.931616264978705
rosts, 5.930140032393276
sikes, 5.928782404512008
earls, 5.928297174201001
easer, 5.926931418857004
resus, 5.92673335460328
sends, 5.924395507593241
taels, 5.922413689122113
slots, 5.921978633786156
dosas, 5.921627912390587
raise, 5.9207403129603655
tries, 5.9200070478937175
rusas, 5.918425671231521
rotes, 5.918093497065239
wases, 5.917578986649216
sorel, 5.917423601184415
seers, 5.9160944381443334
leats, 5.913512336508692
rares, 5.912299188983263
aedes, 5.911666844281462
desis, 5.90878773422526
nears, 5.906724128616515
toeas, 5.905883954361827
saves, 5.905036377548011
hoses, 5.9040377910413975
soaks, 5.900280728981354
strae, 5.899156379387941
rones, 5.897216135782095
nates, 5.896736671327611
deres, 5.895580486611457
nests, 5.8928361232346615
trees, 5.889573832528965
siree, 5.888838834410694
earns, 5.886258527501236
taser, 5.884476928607908
toles, 5.883415940185227
dales, 5.883108211807056
taros, 5.882409682573168
riles, 5.882074643404769
arets, 5.8815746637472905
hares, 5.878147400395494
septs, 5.876160114265889
slits, 5.8755286309051575
toras, 5.875051016749582
koses, 5.8727205550926245
slate, 5.872449594305678
sects, 5.87207508132436
skies, 5.8704184281188665
teles, 5.869893104058427
sakis, 5.867936850554913
